,dsstox_substance_id,med,mad,ntst,nhit,burstpct,used_in_global_mad_calc,global_mad,cyto_pt,cyto_pt_um,lower_bnd_um
1871,DTXSID2020923,1.8024452424189785,0.0005580052636372158,70.0,3.0,0.04285714285714286,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1872,DTXSID2020927,,,68.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1873,DTXSID2020929,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1874,DTXSID2020971,1.8927231696344806,0.0,70.0,1.0,0.014285714285714285,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1875,DTXSID2020977,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1876,DTXSID2021022,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1877,DTXSID2021026,,,67.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1878,DTXSID2021028,1.0702073577943116,0.0,70.0,1.0,0.014285714285714285,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1879,DTXSID2021070,1.9128642249201395,0.0,70.0,1.0,0.014285714285714285,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1880,DTXSID2021103,,,72.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1881,DTXSID2021105,1.6312135037417121,0.3494309807288937,69.0,8.0,0.11594202898550725,True,0.1765603253086648,1.6312135037417121,42.77731322452859,12.63375724659203
1882,DTXSID2021151,1.8426332755560186,0.049789520004555575,72.0,9.0,0.125,True,0.1765603253086648,1.8426332755560186,69.60385210535145,20.556648013659686
1883,DTXSID2021159,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1884,DTXSID2021232,0.8254148430558899,0.28456931952973286,70.0,10.0,0.14285714285714285,True,0.1765603253086648,0.8254148430558899,6.689826323273966,1.9757585369256434
1885,DTXSID2021234,1.4330954306855446,0.34897758481655716,71.0,30.0,0.4225352112676056,True,0.1765603253086648,1.4330954306855446,27.107872274467898,8.00597915043609
1886,DTXSID2021236,1.6724241103571067,0.17052577280422554,70.0,23.0,0.32857142857142857,True,0.1765603253086648,1.6724241103571067,47.035320791467456,13.891307800842633
1887,DTXSID2021238,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1888,DTXSID2021282,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1889,DTXSID2021284,,,67.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1890,DTXSID2021286,,,71.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1891,DTXSID2021288,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1892,DTXSID2021311,1.5496293464176496,0.10988296748892622,71.0,23.0,0.323943661971831,True,0.1765603253086648,1.5496293464176496,35.45106988825529,10.470040714089787
1893,DTXSID2021315,-0.6477661268211287,0.00575488355091777,68.0,5.0,0.07352941176470588,True,0.1765603253086648,-0.6477661268211287,0.22502660769104244,0.06645886151546765
1894,DTXSID2021317,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1895,DTXSID2021319,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1896,DTXSID2021363,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1897,DTXSID2021365,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1898,DTXSID2021367,1.5191138971726903,0.3033497583245187,70.0,64.0,0.9142857142857143,True,0.1765603253086648,1.5191138971726903,33.045619443170665,9.759620290245115
1899,DTXSID2021440,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1900,DTXSID2021442,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1901,DTXSID2021446,1.5696651269997213,0.0,70.0,1.0,0.014285714285714285,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1902,DTXSID2021448,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1903,DTXSID2021492,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1904,DTXSID2021496,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1905,DTXSID2021498,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1906,DTXSID2021575,,,72.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1907,DTXSID2021577,1.4627975621382372,0.2507097792765719,68.0,32.0,0.47058823529411764,True,0.1765603253086648,1.4627975621382372,29.026693166553756,8.572679476449123
1908,DTXSID2021600,,,65.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
